;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
;Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%)
Country;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
Syrian Arab Republic;97;97;97;97;97;96;96;96;96;96;96;96;95;95;95;95
Tajikistan;74;74;73;72;70;69;68;67;66;64;63;62;61;60;58;57
Thailand;98;98;98;98;97;97;97;97;96;96;96;95;95;95;95;94
Republic of North Macedonia;97;97;97;97;97;97;97;97;97;97;97;98;98;98;98;98
Timor-Leste;70;69;67;66;65;63;62;60;59;57;56;55;53;52;;
Togo;63;62;60;59;58;57;56;55;54;52;51;50;49;48;47;45
Tonga;100;100;100;100;99;99;99;99;99;99;99;98;98;98;98;98
Trinidad and Tobago;97;97;97;97;97;96;96;96;95;95;94;94;93;93;92;92
Tunisia;94;94;94;93;93;92;92;91;91;91;90;90;89;89;88;88
Turkey;99;99;99;98;98;98;98;97;97;97;97;96;96;96;96;95
Turkmenistan;94;94;93;93;92;91;90;90;89;88;88;87;86;85;85;84
Tuvalu;99;99;99;99;99;99;99;98;98;98;98;98;98;98;98;
Uganda;39;38;38;37;37;36;35;35;34;33;33;32;32;31;31;30
Ukraine;98;98;97;97;97;97;97;97;97;96;96;96;96;96;96;96
United Arab Emirates;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
United Kingdom of Great Britain and Northern Ireland;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
United Republic of Tanzania;50;49;48;46;45;44;43;41;40;39;38;36;35;34;33;32
United States of America;99;99;99;99;99;99;99;99;99;99;99;;;;;
Uruguay;99;99;99;99;99;98;98;98;98;98;97;97;97;97;97;97
Uzbekistan;;;;91;91;91;91;91;91;90;89;89;88;87;86;85
Vanuatu;91;90;89;88;87;87;86;85;84;83;83;82;82;82;82;82
Venezuela (Bolivarian Republic of);97;97;97;97;97;97;97;97;97;97;97;97;96;96;96;96
Viet Nam;91;90;89;88;87;87;86;85;84;83;82;81;80;79;79;78
Yemen;70;68;66;64;62;60;58;56;54;52;50;48;45;43;43;43
Zambia;61;60;60;59;58;57;56;55;55;54;53;52;51;50;49;49
Zimbabwe;67;67;67;67;68;68;68;69;69;69;70;70;70;70;71;70
